"b'LocalTime=10:52:00.997,Message=Imbalance,MarketTime=10:52:01.347,Side=S,Type=R,Status=E,Symbol=CO.NY,Price=0,Volume=32303,Source=NYSE,AuctionPrice=2.9876,ContinuousPrice=2.6600,PairedVolume=30022,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:22.082,Message=Imbalance,MarketTime=10:52:22.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=129,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2364,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:24.079,Message=Imbalance,MarketTime=10:52:24.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=95,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2398,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:26.077,Message=Imbalance,MarketTime=10:52:26.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=92,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2401,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:28.079,Message=Imbalance,MarketTime=10:52:28.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=94,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2399,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:30.103,Message=Imbalance,MarketTime=10:52:30.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=61,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2432,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:32.077,Message=Imbalance,MarketTime=10:52:32.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=69,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2472,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:34.080,Message=Imbalance,MarketTime=10:52:34.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=69,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2472,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:36.082,Message=Imbalance,MarketTime=10:52:36.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=68,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2473,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:38.086,Message=Imbalance,MarketTime=10:52:38.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=68,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2473,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:40.074,Message=Imbalance,MarketTime=10:52:40.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=68,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2473,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:42.075,Message=Imbalance,MarketTime=10:52:42.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=67,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2474,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:44.076,Message=Imbalance,MarketTime=10:52:44.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=67,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2474,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:46.076,Message=Imbalance,MarketTime=10:52:46.310,Side=S,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=48,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2493,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:48.092,Message=Imbalance,MarketTime=10:52:48.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=37.680,Volume=2,Source=NSDQ,AuctionPrice=37.680,ContinuousPrice=37.680,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:50.081,Message=Imbalance,MarketTime=10:52:50.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=5,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:52.078,Message=Imbalance,MarketTime=10:52:52.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=5,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:54.074,Message=Imbalance,MarketTime=10:52:54.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=60,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:56.075,Message=Imbalance,MarketTime=10:52:56.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=17,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:52:58.089,Message=Imbalance,MarketTime=10:52:58.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=20,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:00.078,Message=Imbalance,MarketTime=10:53:00.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=43,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:02.083,Message=Imbalance,MarketTime=10:53:02.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=53,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:04.075,Message=Imbalance,MarketTime=10:53:04.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=54,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:06.083,Message=Imbalance,MarketTime=10:53:06.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=65,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:08.089,Message=Imbalance,MarketTime=10:53:08.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=66,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:10.096,Message=Imbalance,MarketTime=10:53:10.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=66,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:12.075,Message=Imbalance,MarketTime=10:53:12.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.350,Volume=16,Source=NSDQ,AuctionPrice=38.350,ContinuousPrice=38.350,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:14.090,Message=Imbalance,MarketTime=10:53:14.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=56,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2541,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:16.075,Message=Imbalance,MarketTime=10:53:16.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=55,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:18.076,Message=Imbalance,MarketTime=10:53:18.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.350,Volume=3,Source=NSDQ,AuctionPrice=38.350,ContinuousPrice=38.350,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:20.080,Message=Imbalance,MarketTime=10:53:20.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.350,Volume=2,Source=NSDQ,AuctionPrice=38.350,ContinuousPrice=38.350,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:22.081,Message=Imbalance,MarketTime=10:53:22.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.350,Volume=16,Source=NSDQ,AuctionPrice=38.350,ContinuousPrice=38.350,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:24.108,Message=Imbalance,MarketTime=10:53:24.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.350,Volume=16,Source=NSDQ,AuctionPrice=38.350,ContinuousPrice=38.350,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:26.086,Message=Imbalance,MarketTime=10:53:26.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.350,Volume=16,Source=NSDQ,AuctionPrice=38.350,ContinuousPrice=38.350,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:28.075,Message=Imbalance,MarketTime=10:53:28.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.350,Volume=13,Source=NSDQ,AuctionPrice=38.350,ContinuousPrice=38.350,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:30.087,Message=Imbalance,MarketTime=10:53:30.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.350,Volume=17,Source=NSDQ,AuctionPrice=38.350,ContinuousPrice=38.350,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:32.077,Message=Imbalance,MarketTime=10:53:32.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.350,Volume=47,Source=NSDQ,AuctionPrice=38.350,ContinuousPrice=38.350,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:34.087,Message=Imbalance,MarketTime=10:53:34.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.360,Volume=6,Source=NSDQ,AuctionPrice=38.360,ContinuousPrice=38.360,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:36.089,Message=Imbalance,MarketTime=10:53:36.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.360,Volume=16,Source=NSDQ,AuctionPrice=38.360,ContinuousPrice=38.360,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:38.084,Message=Imbalance,MarketTime=10:53:38.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.360,Volume=21,Source=NSDQ,AuctionPrice=38.360,ContinuousPrice=38.360,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:40.078,Message=Imbalance,MarketTime=10:53:40.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.360,Volume=19,Source=NSDQ,AuctionPrice=38.360,ContinuousPrice=38.360,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:42.092,Message=Imbalance,MarketTime=10:53:42.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.360,Volume=18,Source=NSDQ,AuctionPrice=38.360,ContinuousPrice=38.360,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:44.094,Message=Imbalance,MarketTime=10:53:44.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=39.000,Volume=46,Source=NSDQ,AuctionPrice=39.000,ContinuousPrice=39.000,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:46.093,Message=Imbalance,MarketTime=10:53:46.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=39.000,Volume=48,Source=NSDQ,AuctionPrice=39.000,ContinuousPrice=39.000,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:48.100,Message=Imbalance,MarketTime=10:53:48.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=39.000,Volume=96,Source=NSDQ,AuctionPrice=39.000,ContinuousPrice=39.000,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:50.077,Message=Imbalance,MarketTime=10:53:50.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=39.000,Volume=96,Source=NSDQ,AuctionPrice=39.000,ContinuousPrice=39.000,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:52.089,Message=Imbalance,MarketTime=10:53:52.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.350,Volume=14,Source=NSDQ,AuctionPrice=38.350,ContinuousPrice=38.350,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:54.094,Message=Imbalance,MarketTime=10:53:54.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.340,Volume=51,Source=NSDQ,AuctionPrice=38.340,ContinuousPrice=38.340,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:56.078,Message=Imbalance,MarketTime=10:53:56.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.340,Volume=71,Source=NSDQ,AuctionPrice=38.340,ContinuousPrice=38.340,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:53:58.080,Message=Imbalance,MarketTime=10:53:58.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.340,Volume=73,Source=NSDQ,AuctionPrice=38.340,ContinuousPrice=38.340,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:00.078,Message=Imbalance,MarketTime=10:54:00.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.340,Volume=78,Source=NSDQ,AuctionPrice=38.340,ContinuousPrice=38.340,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:02.079,Message=Imbalance,MarketTime=10:54:02.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=79,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:04.081,Message=Imbalance,MarketTime=10:54:04.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=79,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:06.076,Message=Imbalance,MarketTime=10:54:06.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=89,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:08.079,Message=Imbalance,MarketTime=10:54:08.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=72,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:10.079,Message=Imbalance,MarketTime=10:54:10.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=72,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2542,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
